dataset_name,algorithm_name,anchor_model_file_name,image_name,varroa_count,window_count,candidate_count,final_detection_count,threshold_column,threshold_value,score_threshold,stride_divisor,stride,cluster_iou_threshold,weighted_box_size_factor,tp_iou_0_1,fp_iou_0_1,fn_iou_0_1,precision_iou_0_1,recall_iou_0_1,f1_iou_0_1,tp_iou_0_3,fp_iou_0_3,fn_iou_0_3,precision_iou_0_3,recall_iou_0_3,f1_iou_0_3
dataset1_varroa,linear_svm,d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,2017-09-25_16-03-38-mp4-bee_id_1293-43170-1_png.rf.765fcf2dea6a99b5490ac925af064c40.jpg,1,841,3,2,score_threshold,1.0,1.0,4,20,0.2,1.0,0,2,1,0.0,0.0,0.0,0,2,1,0.0,0.0,0.0
dataset1_varroa,linear_svm,d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,2017-09-25_16-03-38-mp4-bee_id_1324-44010-1_png.rf.03b2deaa8c15e30a600cfe6b5b9a4cbd.jpg,0,841,18,3,score_threshold,1.0,1.0,4,20,0.2,1.0,0,3,0,0.0,0.0,0.0,0,3,0,0.0,0.0,0.0
dataset1_varroa,linear_svm,d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,2017-09-25_16-03-38-mp4-bee_id_1331-44235-1_png.rf.f1f8f1d82aa625b9258403f587a7465e.jpg,0,841,2,1,score_threshold,1.0,1.0,4,20,0.2,1.0,0,1,0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0
dataset1_varroa,linear_svm,d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,2017-09-25_16-03-38-mp4-bee_id_1335-44310-1_png.rf.4d717a70cd4ad5c589e722594014395a.jpg,0,841,11,5,score_threshold,1.0,1.0,4,20,0.2,1.0,0,5,0,0.0,0.0,0.0,0,5,0,0.0,0.0,0.0
dataset1_varroa,linear_svm,d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,2017-09-25_16-03-38-mp4-bee_id_1345-44535-1_png.rf.f9ec3825b76a65d6571e7f43ea3295a1.jpg,1,841,19,7,score_threshold,1.0,1.0,4,20,0.2,1.0,1,6,0,0.14285714285714285,1.0,0.25,1,6,0,0.14285714285714285,1.0,0.25
dataset1_varroa,linear_svm,d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,2017-09-25_16-03-38-mp4-bee_id_1364-44895-1_png.rf.67be75da3842dfef54be30950bae4359.jpg,1,841,8,3,score_threshold,1.0,1.0,4,20,0.2,1.0,1,2,0,0.3333333333333333,1.0,0.5,1,2,0,0.3333333333333333,1.0,0.5
dataset1_varroa,linear_svm,d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,2017-09-25_16-03-38-mp4-bee_id_1376-45345-1_png.rf.0f2a148db4d899b6f570e6c77302242d.jpg,1,841,11,2,score_threshold,1.0,1.0,4,20,0.2,1.0,1,1,0,0.5,1.0,0.6666666666666666,1,1,0,0.5,1.0,0.6666666666666666
dataset1_varroa,linear_svm,d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,2017-09-25_16-03-38-mp4-bee_id_1378-45405-1_png.rf.f0b58a05962afd5c6a19f1b7d9f5404d.jpg,0,841,11,3,score_threshold,1.0,1.0,4,20,0.2,1.0,0,3,0,0.0,0.0,0.0,0,3,0,0.0,0.0,0.0
dataset1_varroa,linear_svm,d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,2017-09-25_16-03-38-mp4-bee_id_1403-46050-1_png.rf.f372614e0dc6554af8f1fbd48e5c8e48.jpg,1,841,14,5,score_threshold,1.0,1.0,4,20,0.2,1.0,1,4,0,0.2,1.0,0.3333333333333333,1,4,0,0.2,1.0,0.3333333333333333
dataset1_varroa,linear_svm,d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,2017-09-25_16-03-38-mp4-bee_id_1604-51720-1_png.rf.254dbd8e89375bb3efde674d6ea07826.jpg,1,841,27,3,score_threshold,1.0,1.0,4,20,0.2,1.0,1,2,0,0.3333333333333333,1.0,0.5,1,2,0,0.3333333333333333,1.0,0.5
