rank_iou_0_2,dataset_name,algorithm_name,patch_set,feature_set,model_file_name,threshold_value,stride_divisor,cluster_iou_threshold,weighted_box_size_factor,detection_f1_iou_0_2,false_positives_per_image_iou_0_2,detection_recall_iou_0_2,detection_f1_iou_0_3,false_positives_per_image_iou_0_3,detection_recall_iou_0_3,rank_iou_0_3
62,dataset2_honeybee,linear_svm,centered48_balanced,hog16_pca_hsv_lbp,d2_linsvm_011__centered48_balanced__hog16_pca_hsv_lbp.joblib,0.8,4,0.3,1.0,0.4236220472440944,0.7085714285714285,0.5326732673267327,0.3086614173228346,0.8128571428571428,0.3881188118811881,72
63,dataset2_honeybee,random_forest,centered48_balanced,hog8_pca_hsv_lbp,d2_rf_009__centered48_balanced__hog8_pca_hsv_lbp.joblib,0.8,4,0.3,1.25,0.4203935599284437,0.54,0.4653465346534653,0.1896243291592128,0.7242857142857143,0.2099009900990099,130
64,dataset2_honeybee,rbf_svm,centered48_neg4x,hog16_hsv_lbp,d2_rbfsvm_006__centered48_neg4x__hog16_hsv_lbp.joblib,0.8,4,0.3,1.25,0.4181313598519889,0.5,0.4475247524752475,0.2053654024051804,0.6642857142857143,0.2198019801980198,125
65,dataset2_honeybee,linear_svm,centered48_balanced,hog16_pca_hsv_lbp,d2_linsvm_011__centered48_balanced__hog16_pca_hsv_lbp.joblib,0.8,4,0.2,1.25,0.4147880973850316,0.5342857142857143,0.4554455445544554,0.1875563570784491,0.7142857142857143,0.2059405940594059,132
66,dataset2_honeybee,linear_svm,centered48_balanced,hog16_hsv_lbp,d2_linsvm_004__centered48_balanced__hog16_hsv_lbp.joblib,0.8,4,0.3,1.0,0.4147104851330203,0.7257142857142858,0.5247524752475248,0.2942097026604068,0.8357142857142857,0.3722772277227723,79
67,dataset2_honeybee,rbf_svm,centered48_balanced,hog8_pca_hsv_lbp,d2_rbfsvm_009__centered48_balanced__hog8_pca_hsv_lbp.joblib,0.9,4,0.2,1.25,0.4130808950086058,0.5957142857142858,0.4752475247524752,0.1876075731497417,0.7828571428571428,0.2158415841584158,131
68,dataset2_honeybee,rbf_svm,centered48_balanced,hog16_pca_hsv_lbp,d2_rbfsvm_003__centered48_balanced__hog16_pca_hsv_lbp.joblib,1.2,4,0.25,1.25,0.4113597246127366,0.5971428571428572,0.4732673267326732,0.2048192771084337,0.7685714285714286,0.2356435643564356,126
69,dataset2_honeybee,linear_svm,centered48_balanced,hog8_pca_hsv_lbp,d2_linsvm_008__centered48_balanced__hog8_pca_hsv_lbp.joblib,0.8,4,0.25,1.0,0.4111111111111111,0.7085714285714285,0.5128712871287129,0.3047619047619048,0.8042857142857143,0.3801980198019802,76
70,dataset2_honeybee,linear_svm,centered48_balanced,hog16_hsv_lbp,d2_linsvm_004__centered48_balanced__hog16_hsv_lbp.joblib,0.8,4,0.2,1.25,0.4086021505376344,0.5471428571428572,0.4514851485148515,0.1845878136200716,0.7257142857142858,0.2039603960396039,133
71,dataset1_varroa,linear_svm,centered80_neg4x,hog16_pca_hsv_lbp,d1_linsvm_024__centered80_neg4x__hog16_pca_hsv_lbp.joblib,1.6,4,0.25,1.0,0.4069767441860465,0.2414285714285714,0.4338842975206611,0.3914728682170543,0.2471428571428571,0.4173553719008264,16
