rank_iou_0_2,dataset_name,algorithm_name,patch_set,feature_set,model_file_name,threshold_value,stride_divisor,cluster_iou_threshold,weighted_box_size_factor,detection_f1_iou_0_2,false_positives_per_image_iou_0_2,detection_recall_iou_0_2,detection_f1_iou_0_3,false_positives_per_image_iou_0_3,detection_recall_iou_0_3,rank_iou_0_3
58,dataset1_varroa,linear_svm,centered80_balanced,hog16_hsv_lbp,d1_linsvm_004__centered80_balanced__hog16_hsv_lbp.joblib,2.2,4,0.3,1.25,0.4586666666666666,0.54,0.5584415584415584,0.44,0.554,0.5357142857142857,26
59,dataset1_varroa,random_forest,centered80_neg4x,hog16_pca_hsv_lbp,d1_rf_007__centered80_neg4x__hog16_pca_hsv_lbp.joblib,0.8,4,0.2,1.25,0.4573748308525033,0.524,0.5487012987012987,0.4248985115020297,0.548,0.5097402597402597,37
60,dataset2_honeybee,random_forest,centered48_neg4x,hog16_hsv_lbp,d2_rf_006__centered48_neg4x__hog16_hsv_lbp.joblib,0.6,4,0.3,1.25,0.4567901234567901,0.398,0.4916943521594684,0.1851851851851851,0.574,0.1993355481727574,128
61,dataset2_honeybee,rbf_svm,centered48_neg4x,hog16_hsv_lbp,d2_rbfsvm_006__centered48_neg4x__hog16_hsv_lbp.joblib,0.8,4,0.2,1.25,0.4567474048442906,0.29,0.4385382059800664,0.2110726643598615,0.432,0.2026578073089701,112
62,dataset1_varroa,rbf_svm,centered96_balanced,hog16_pca_hsv_lbp,d1_rbfsvm_002__centered96_balanced__hog16_pca_hsv_lbp.joblib,1.3,4,0.2,1.0,0.4566210045662101,0.398,0.487012987012987,0.4292237442922374,0.416,0.4577922077922078,32
63,dataset2_honeybee,random_forest,centered48_neg4x,hog16_hsv_lbp,d2_rf_006__centered48_neg4x__hog16_hsv_lbp.joblib,0.6,4,0.25,1.25,0.456418383518225,0.372,0.4784053156146179,0.1901743264659271,0.54,0.1993355481727574,124
64,dataset1_varroa,random_forest,centered80_neg4x,hog16_pca_hsv_lbp,d1_rf_007__centered80_neg4x__hog16_pca_hsv_lbp.joblib,0.8,4,0.2,1.0,0.4546684709066305,0.526,0.5454545454545454,0.4194857916102842,0.552,0.5032467532467533,42
65,dataset2_honeybee,linear_svm,centered48_balanced,hog16_hsv_lbp,d2_linsvm_004__centered48_balanced__hog16_hsv_lbp.joblib,0.9,4,0.25,1.0,0.4545454545454545,0.418,0.4983388704318937,0.3212121212121211,0.506,0.3521594684385382,96
66,dataset2_honeybee,rbf_svm,centered48_neg4x,hog16_pca_hsv_lbp,d2_rbfsvm_007__centered48_neg4x__hog16_pca_hsv_lbp.joblib,0.9,4,0.25,1.25,0.4543889845094664,0.296,0.4385382059800664,0.2134251290877796,0.436,0.2059800664451827,110
67,dataset2_honeybee,rbf_svm,centered48_balanced,hog16_pca_hsv_lbp,d2_rbfsvm_003__centered48_balanced__hog16_pca_hsv_lbp.joblib,1.2,4,0.2,1.25,0.4542586750788644,0.378,0.4784053156146179,0.1987381703470032,0.54,0.2093023255813953,118
